"id";"description";"main_category";"name"
1;"Astrophysics of Galaxies";"physics";"astro-ph.GA"
2;"Cosmology and Nongalactic Astrophysics";"physics";"astro-ph.CO"
3;"Earth and Planetary Astrophysics";"physics";"astro-ph.EP"
4;"High Energy Astrophysical Phenomena";"physics";"astro-ph.HE"
5;"Instrumentation and Methods for Astrophysics";"physics";"astro-ph.IM"
6;"Solar and Stellar Astrophysics";"physics";"astro-ph.SR"
7;"Disordered Systems and Neural Networks";"physics";"cond-mat.dis-nn"
8;"Materials Science";"physics";"cond-mat.mtrl-sci"
9;"Mesoscale and Nanoscale Physics";"physics";"cond-mat.mes-hall"
10;"Other Condensed Matter";"physics";"cond-mat.other"
11;"Quantum Gases";"physics";"cond-mat.quant-gas"
12;"Soft Condensed Matter";"physics";"cond-mat.soft"
13;"Statistical Mechanics";"physics";"cond-mat.stat-mech"
14;"Strongly Correlated Electrons";"physics";"cond-mat.str-el"
15;"Superconductivity";"physics";"cond-mat.supr-con"
16;"General Relativity and Quantum Cosmology";"physics";"gr-qc"
17;"High Energy Physics - Experiment";"physics";"hep-ex"
18;"High Energy Physics - Lattice";"physics";"hep-lat"
19;"High Energy Physics - Phenomenology";"physics";"hep-ph"
20;"High Energy Physics - Theory";"physics";"hep-th"
21;"Mathematical Physics";"physics";"math-ph"
22;"Adaptation and Self-Organizing Systems";"physics";"nlin.AO"
23;"Cellular Automata and Lattice Gases";"physics";"nlin.CG"
24;"Chaotic Dynamics";"physics";"nlin.CD"
25;"Exactly Solvable and Integrable Systems";"physics";"nlin.SI"
26;"Pattern Formation and Solitons";"physics";"nlin.PS"
27;"Nuclear Experiment";"physics";"nucl-ex"
28;"Nuclear Theory";"physics";"nucl-th"
29;"Accelerator Physics";"physics";"physics.acc-ph"
30;"Applied Physics";"physics";"physics.app-ph"
31;"Atmospheric and Oceanic Physics";"physics";"physics.ao-ph"
32;"Atomic Physics";"physics";"physics.atom-ph"
33;"Atomic and Molecular Clusters";"physics";"physics.atm-clus"
34;"Biological Physics";"physics";"physics.bio-ph"
35;"Chemical Physics";"physics";"physics.chem-ph"
36;"Classical Physics";"physics";"physics.class-ph"
37;"Computational Physics";"physics";"physics.comp-ph"
38;"Data Analysis, Statistics and Probability";"physics";"physics.data-an"
39;"Fluid Dynamics";"physics";"physics.flu-dyn"
40;"General Physics";"physics";"physics.gen-ph"
41;"Geophysics";"physics";"physics.geo-ph"
42;"History and Philosophy of Physics";"physics";"physics.hist-ph"
43;"Instrumentation and Detectors";"physics";"physics.ins-det"
44;"Medical Physics";"physics";"physics.med-ph"
45;"Optics";"physics";"physics.optics"
46;"Physics Education";"physics";"physics.ed-ph"
47;"Physics and Society";"physics";"physics.soc-ph"
48;"Plasma Physics";"physics";"physics.plasm-ph"
49;"Popular Physics";"physics";"physics.pop-ph"
50;"Space Physics";"physics";"physics.space-ph"
51;"Quantum Physics";"physics";"quant-ph"
52;"Algebraic Geometry";"math";"math.AG"
53;"Algebraic Topology";"math";"math.AT"
54;"Analysis of PDEs";"math";"math.AP"
55;"Category Theory";"math";"math.CT"
56;"Classical Analysis and ODEs";"math";"math.CA"
57;"Combinatorics";"math";"math.CO"
58;"Commutative Algebra";"math";"math.AC"
59;"Complex Variables";"math";"math.CV"
60;"Differential Geometry";"math";"math.DG"
61;"Dynamical Systems";"math";"math.DS"
62;"Functional Analysis";"math";"math.FA"
63;"General Mathematics";"math";"math.GM"
64;"General Topology";"math";"math.GN"
65;"Geometric Topology";"math";"math.GT"
66;"Group Theory";"math";"math.GR"
67;"History and Overview";"math";"math.HO"
68;"Information Theory";"math";"math.IT"
69;"K-Theory and Homology";"math";"math.KT"
70;"Logic";"math";"math.LO"
71;"Mathematical Physics";"math";"math.MP"
72;"Metric Geometry";"math";"math.MG"
73;"Number Theory";"math";"math.NT"
74;"Numerical Analysis";"math";"math.NA"
75;"Operator Algebras";"math";"math.OA"
76;"Optimization and Control";"math";"math.OC"
77;"Probability";"math";"math.PR"
78;"Quantum Algebra";"math";"math.QA"
79;"Representation Theory";"math";"math.RT"
80;"Rings and Algebras";"math";"math.RA"
81;"Spectral Theory";"math";"math.SP"
82;"Statistics Theory";"math";"math.ST"
83;"Symplectic Geometry";"math";"math.SG"
84;"Artificial Intelligence";"cs";"cs.AI"
85;"Computation and Language";"cs";"cs.CL"
86;"Computational Complexity";"cs";"cs.CC"
87;"Computational Engineering, Finance, and Science";"cs";"cs.CE"
88;"Computational Geometry";"cs";"cs.CG"
89;"Computer Science and Game Theory";"cs";"cs.GT"
90;"Computer Vision and Pattern Recognition";"cs";"cs.CV"
91;"Computers and Society";"cs";"cs.CY"
92;"Cryptography and Security";"cs";"cs.CR"
93;"Data Structures and Algorithms";"cs";"cs.DS"
94;"Databases";"cs";"cs.DB"
95;"Digital Libraries";"cs";"cs.DL"
96;"Discrete Mathematics";"cs";"cs.DM"
97;"Distributed, Parallel, and Cluster Computing";"cs";"cs.DC"
98;"Emerging Technologies";"cs";"cs.ET"
99;"Formal Languages and Automata Theory";"cs";"cs.FL"
100;"General Literature";"cs";"cs.GL"
101;"Graphics";"cs";"cs.GR"
102;"Hardware Architecture";"cs";"cs.AR"
103;"Human-Computer Interaction";"cs";"cs.HC"
104;"Information Retrieval";"cs";"cs.IR"
105;"Information Theory";"cs";"cs.IT"
106;"Learning";"cs";"cs.LG"
107;"Logic in Computer Science";"cs";"cs.LO"
108;"Mathematical Software";"cs";"cs.MS"
109;"Multiagent Systems";"cs";"cs.MA"
110;"Multimedia";"cs";"cs.MM"
111;"Networking and Internet Architecture";"cs";"cs.NI"
112;"Neural and Evolutionary Computing";"cs";"cs.NE"
113;"Numerical Analysis";"cs";"cs.NA"
114;"Operating Systems";"cs";"cs.OS"
115;"Other Computer Science";"cs";"cs.OH"
116;"Performance";"cs";"cs.PF"
117;"Programming Languages";"cs";"cs.PL"
118;"Robotics";"cs";"cs.RO"
119;"Social and Information Networks";"cs";"cs.SI"
120;"Software Engineering";"cs";"cs.SE"
121;"Sound";"cs";"cs.SD"
122;"Symbolic Computation";"cs";"cs.SC"
123;"Systems and Control";"cs";"cs.SY"
124;"Biomolecules";"q-bio";"q-bio.BM"
125;"Genomics";"q-bio";"q-bio.GN"
126;"Molecular Networks";"q-bio";"q-bio.MN"
127;"Subcellular Processes";"q-bio";"q-bio.SC"
128;"Cell Behavior";"q-bio";"q-bio.CB"
129;"Neurons and Cognition";"q-bio";"q-bio.NC"
130;"Tissues and Organs";"q-bio";"q-bio.TO"
131;"Populations and Evolution";"q-bio";"q-bio.PE"
132;"Quantitative Methods";"q-bio";"q-bio.QM"
133;"Other";"q-bio";"q-bio.OT"
134;"Pricing of Securities";"q-fin";"q-fin.PR"
135;"Risk Management";"q-fin";"q-fin.RM"
136;"Portfolio Management";"q-fin";"q-fin.PM"
137;"Trading and Microstructure";"q-fin";"q-fin.TR"
138;"Mathematical Finance";"q-fin";"q-fin.MF"
139;"Computational Finance";"q-fin";"q-fin.CP"
140;"Statistical Finance";"q-fin";"q-fin.ST"
141;"General Finance";"q-fin";"q-fin.GN"
142;"Economics";"q-fin";"q-fin.EC"
143;"Applications";"stats";"stat.AP"
144;"Computation";"stats";"stat.CO"
145;"Machine Learning";"stats";"stat.ML"
146;"Methodology";"stats";"stat.ME"
147;"Other Statistics";"stats";"stat.OT"
148;"Theory";"stats";"stat.TH"
149;"Astrophysics";"physics";"astro-ph"
150;"Audio and Speech Processing";"physics";"eess.AS"
151;"Image and Video Processing";"physics";"eess.IV"
152;"Signal Processing";"physics";"eess.SP"
153;"Quantitative Biology";"q-bio";"q-bio"
154;"Superconductivity";"physics";"supr-con"
155;"Atomic Physics";"physics";"atom-ph"
156;"Condensed Matter";"physics";"cond-mat"
157;" Systems and Control";"physics";"eess.SY"
158;"Chemical Physics";"physics";"chem-ph"
159;"Plasma Physics";"physics";"plasm-ph"
